job_id,resume_id,rank,similarity_score
job_14,17641670.pdf,1,0.14908228763644296
job_14,18159866.pdf,2,0.11234498641650062
job_14,16186411.pdf,3,0.10709086760223668
job_14,12763627.pdf,4,0.10614791612895802
job_14,13405733.pdf,5,0.10039562024103783
job_15,13405733.pdf,1,0.14646961823971322
job_15,16899268.pdf,2,0.13808082016551243
job_15,18159866.pdf,3,0.12418510063325053
job_15,17681064.pdf,4,0.11455404218828594
job_15,12763627.pdf,5,0.10394770138238385
job_16,16186411.pdf,1,0.1360272243491569
job_16,18159866.pdf,2,0.13380012460315294
job_16,13405733.pdf,3,0.12477707566763845
job_16,16899268.pdf,4,0.11916205732398741
job_16,14789139.pdf,5,0.11892641546896796
job_17,18159866.pdf,1,0.06117210752261024
job_17,13385306.pdf,2,0.060282022535536946
job_17,13405733.pdf,3,0.05760703726338481
job_17,15651486.pdf,4,0.05427901922544749
job_17,12635195.pdf,5,0.05369331159031873
job_18,13385306.pdf,1,0.253478891153548
job_18,18159866.pdf,2,0.2494434332279117
job_18,13405733.pdf,3,0.2301312391808962
job_18,18067556.pdf,4,0.20594016548420366
job_18,17641670.pdf,5,0.20511570194558557
job_20,18159866.pdf,1,0.1615016849384872
job_20,17641670.pdf,2,0.14210676158413943
job_20,18067556.pdf,3,0.13993812304222605
job_20,17111768.pdf,4,0.13706868402437086
job_20,15802627.pdf,5,0.13001882745493173
job_21,13385306.pdf,1,0.12093976179448923
job_21,16186411.pdf,2,0.11962435501352686
job_21,18067556.pdf,3,0.11607637302282747
job_21,18159866.pdf,4,0.1154774860669513
job_21,13836471.pdf,5,0.11147310090116422
job_22,16899268.pdf,1,0.10820510137935882
job_22,16186411.pdf,2,0.08961792953528745
job_22,12763627.pdf,3,0.06742021956045015
job_22,13405733.pdf,4,0.06608699352051253
job_22,18159866.pdf,5,0.06540472399589049
job_23,16899268.pdf,1,0.15080301698622708
job_23,18159866.pdf,2,0.14304904170173244
job_23,13405733.pdf,3,0.12237919030433753
job_23,16186411.pdf,4,0.11948490946694805
job_23,17641670.pdf,5,0.11716634147653181
job_24,17641670.pdf,1,0.3400998164471461
job_24,13836471.pdf,2,0.27424427230572335
job_24,13477922.pdf,3,0.2691949529233599
job_24,16533554.pdf,4,0.2580499225703423
job_24,15802627.pdf,5,0.25708603460180524
job_25,16899268.pdf,1,0.08975338455301457
job_25,12763627.pdf,2,0.08145408529519607
job_25,16186411.pdf,3,0.0728872415667007
job_25,12635195.pdf,4,0.06849310142660063
job_25,13405733.pdf,5,0.06562160682392568
